index,familia,latin name,migrant,portugues,english,iucn,mma,description
152,Hirundinidae,Hirundo rustica,MGT,andorinha-de-bando,Barn Swallow,,," breeds in medium and high latitudes in the Northern Hemisphere and migrates during boreal winter to lower latitudes and to the Southern Hemisphere (Turner, 2004). The subspecies H. r. erythro? gaster flies from North America to Tierra del Fuego and occurs in large flocks in virtually all of Brazil from September to March (Belton, 1985; Sick, 1997). Although it breeds mainly in the Northern Hemisphere, part of its population has settled in eastern Argentina since the early 1980�s (Azpiroz et al., 2012). The number of pairs has since risen and today there are two different breeding populations: one in North America and another more recent one in South America. Genetic testing of the South American population suggested that there is still a significant genetic flow with the North American population (Billerman et al., 2011). The South American population is supposed to molt during austral winter (June, July and August) in northeastern South America (specifically in northern Brazil, French Guiana, Suriname, Guyana and Venezuela), which are areas that become available as soon as swallows from North America migrate to their breeding areas in the Northern Hemisphere (Garcia-Perez et al., 2013). A recent geolocator study from nine birds has confirmed that the South American population migration goes no further than northern South America in austral winter (Winkler et al., 2017). Recent data corroborates that the species occurs in almost all of Brazil but are centered in the period between September and April (WikiAves, 2016; MPEG). The records of AM are distributed thoughout the year (WikiAves, 2016), probably due to population overlap. It is important to mention that the differentiation within the populations is complicated owing to the occurrence of migratory individuals from both populations."
153,Turdidae,,MGT,,,,,
154,Turdidae,Catharus fuscescens,MGT,sabi�-norte-americano,Veery,,," breeds in the USA and Canada and migrates in late August and early September to South America, where it overwinters between September and April. Literature and geolocation data suggest that many individuals depart from southeastern USA in the fall and fly over 1,500 km across the Caribbean Sea to northern South America, where they restore their energy reserves in coastal stopover grounds. Between the Caribbean coast and wintering grounds located 3,000 km to the south, there are many areas with suitable habitat in the Amazon Basin. They probably stop for multiple days during this route and can do so as many as two times (Bayly et al., 2012). This species� wintering grounds include the Amazon, Cerrado, and Atlantic Forest from the Southeast region of Brazil (Collar, 2005; Heckscher et al., 2011), but the south-central and southeastern regions of Brazil (Cerrado areas) were identified as its main wintering areas (Remsen Jr., 2001). Photographic and museum records confirm its presence in Brazil between October and April (WikiAves, 2016; MZUSP; MPEG). The return north from the wintering grounds is probably through the eastern Amazon Basin (Stotz et al., 1992). The highly seasonal occurrence pattern in RO (September to November) and afterwards in Manaus/AM (February to April) suggests that the species moves regularly in the Amazon. Recent geolocation data suggests that the species settles in non-breeding areas in South America � most of them west of the Central Brazil Shield � and then migrates to a second region in lowland Amazonia and on the Guiana Shield before returning north, probably induced by flood cycles in the southern Amazon Basin. Thus, this species has two wintering sites in the Amazon, perhaps following the local increase on food abundance associated with river levels in the Amazon Basin (Heckscher et al., 2011)."
157,Turdidae,Catharus minimus,MGT,sabi�-de-cara-cinza,Gray-cheeked Thrush,,," departs from breeding areas (Siberia, Alaska and Canada) in mid-August and reaches northern South America in September-October, where it overwinters. The return migration starts in April-May and this species reaches its breeding areas in late May/early June. Its migration flights cover an average of 300 km and individuals rest for one or more nights in between flights (Collar & Christie, 2013). It is a rare migrant in Manaus/ AM with a similar number of records during the period between October and December and March-April, but it seems that it does not winter in the Manaus region, and its wintering grounds are practically unknown (Stotz et al., 1992). Museum records are from AC in November, AM in February and March (MPEG) and PA in November and December (Silva, 2011b; Valente, 2011; MPEG)."
158,Turdidae,Catharus swainsoni,MGT,sabi�-de-�culos,Swainson's Thrush,,," breeds in North America and overwinters southwards as far as Argentina and northwestern Brazil (Collar, 2005) between November and March, where there are records for AM in November, February and March (Sick, 1997), MT in December (MZUSP 89116), and for AC in the period of October to March (WikiAves, 2016; MPEG). There are also records for the southeastern and southern regions of Brazil, namely for RJ in November (Scott & Brooke, 1985), SP in February (MZUSP 64231), SC in January and June, and RS in January, as well as records without dates for RO (Olmos et al., 2011)."
159,Turdidae,Turdus flavipes,MGT,sabi�-una,Yellow-legged Thrush,,," occurs in Colombia, Venezuela, Trinidad, Tobago, Guyana, Paraguay, Argentina and Brazil (Collar et al., 2016). It migrates altitudinally occupying higher regions during spring and summer and foothills during winter (Antas, 1987; Joseph, 1996; Alves, 2007). Populations from the mountains of RJ and ES fly to lower elevations in the austral winter, enlarging their coastal populations (Sick, 1997). In Intervales State Park in southeastern SP, there are records for a lowland region of the Atlantic Forest (70-350 m) only during winter between May and August (Aleixo & Galetti, 1997), but in northeastern SP there is a record of a nesting event at 60 m asl in October (Oliveira Jr. et al., 2014). At Ilha da Queimada Grande, it is one of the most abundant species during austral winter (Marques et al., 2012), as well as at Ilha do Cardoso, where it is stated as a partial migrant recorded mainly between April and October (Castro et al., 2012). Photographic records suggest this species� presence throughout the year in ES, RJ, SP, PR and SC, but it is restricted to the period between September and April in RS (WikiAves, 2016), where it breeds (Belton, 1985; Maur�cio et al., 2013). In BA, it also seems to be present all year round, though there are no records in March, May and June. Records of breeding activity are centered in the period between September and January, and they are from elevations both higher and lower than 600 m in WikiAves (at 2 and 741 m in SP and at 10 and 906 m in PR). SNA data suggests that this species is present in SP all year round, both at an elevation of 3 and 750 m (SNA, 2016), which does not fully either support or refute the hypothesis of altitudinal migration. However, it is widely accepted that the species migrates altitudinally in the Serra do Mar, therefore a project aiming specifically to elucidate its migratory pattern is being conducted (A.C. Guaraldo, pers. obs.)."
160,Mimidae,,MGT,,,,,
161,Mimidae,Mimus triurus,MGT,calhandra-de-tr�s-rabos,White-banded Mockingbird,,," breeds in Bolivia, Paraguay and Argentina, and occurs in southern and southwestern Brazil in the non-breeding season (Cody, 2005). Photographic records confirm its occurrence in Brazil between March and November in MT, MS, RJ, SP, PR, SC and RS, without any evidence of breeding activity (Pinto, 1944; Belton, 1985; Bornschein et al., 1997; Bencke, 2001; Lima & Aulicino, 2008; Maciel & Gaertner, 2014; WikiAves, 2016)."
162,Parulidae,,MGT,,,,,
163,Parulidae,Setophaga ruticilla,MGT,mariquita-de-rabo-vermelho,American Redstart,,," breeds in Alaska, Canada and eastern USA and migrates to Central America, Caribbean and northwestern South America, as well as to southern USA in small numbers (Curson, 2016a). In Brazil, it occurs only in the Amazon: in RR with records between September and April (Stotz et al., 1992; Sick, 1997; WikiAves, 2016), and in AM with records in January (WikiAves, 2016), April and November (Stotz et al., 1992) and October (MPEG 43351). This species departs from breeding areas in North America between July and September and reaches South America in October, returning from late March on and arriving at the breeding site in April-May (Curson, 2016a). It seems to exhibit higher fidelity to wintering areas in the Neotropics than to breeding areas in the North Temperate Zone, probably because individuals remain in the wintering area during their first year of life (Holmes & Sherry, 1992). Populations from the west of the wintering area originate from the northwest of the breeding areas and populations from the east of the wintering area originate from the east and south of the breeding areas. In general, this species reduces its migration distance by flying mainly along a north-south axis between its breeding and wintering sites (Norris et al., 2006)."
164,Parulidae,Setophaga petechia,MGT,mariquita-amarela,Yellow Warbler,,," occurs from Canada and the USA to northern South America in Colombia, Venezuela and northwestern Brazil. Individuals overwinter from western and southern Mexico to the south through Central America and in northern South America from southern to northern Bolivia and in the Brazilian Amazon (Curson, 2010). In Brazil, records are restricted to the period of September to May in the Amazon region in the states of RR, AP, AM, PA (Stotz et al., 1992; WikiAves, 2016; MPEG)."
166,Parulidae,Setophaga striata,MGT,mariquita-de-perna-clara,Blackpoll Warbler,,," originates from North America overwinters regularly in Amazonian lowlands, and its main wintering site in South America is in the Orinoco and Upper Amazon (Sick, 1997). This species arrives in Brazil between September and October (Sick, 1997) and visits forest edges and conserved forests in Manaus/ AM. In Brazilian amazon records are centered in the period between November and April (Stotz et al., 1992). In southeastern Brazil, it occurs only occasionally (Curson, 2010), with records for RJ from January to May (Sick, 1997). Photographic and museum records confirm the pattern found in the literature: the species is present in RR, AP, AM and PA between October and May, in BA in January, in Distrito Federal (DF) in April, in MG in May, in RJ in February and March, and in SP in March (WikiAves, 2016; MZUSP 103227 [SP; 1969, March]; MPEG), which defines it as a boreal winter migrant."
167,Icteridae,,MGT,,,,,
168,Icteridae,Dolichonyx oryzivorus,MGT,triste-pia,Bobolink,,," breeds in North America from May to July and flies non-stop in August through the sea of the Antilles and the coast of Venezuela. In Florida these birds converge into large flocks until they reach their wintering areas in eastern Bolivia, southern central Brazil, Paraguay and northern Argentina, covering 20,000 km in this round trip. Its main wintering site is the Pampas from southeastern South America (Di Gi�como & Krapovickas, 2005; Azpiroz et al., 2012). This species reaches the Pantanal in MT in Brazil in November, and then northeastern Bolivia, Paraguay and the Pampas in Argentina, after crossing the entire Amazonian region (Sick, 1983, 1997; Fraga & Christie, 2016). Three individuals were recorded for Cachoeira de Nazar�/RO in November while flying across the Amazon (Stotz et al., 1992). Geolocation data from 15 individuals captured in three different breeding areas in the USA suggested that fall migration occurs through the Caribbean with a stopover in northern Venezuela, and another in Bolivia in November. 12 individuals flew to a region in Argentina between December and March, where they molted completely before the spring return migration (Renfrew et al., 2013). Records for RS were made in December (Belton, 1985) and sound records for MT in November, while photographic records for MS were between November and March. For SP there is only one record in January (WikiAves, 2016). Museum records are restricted to AM in April (MPEG)."
169,Thraupidae,,MGT,,,,,
170,Thraupidae,Sporophila beltoni,MGT,patativa-tropeira,Tropeiro Seedeater,,VU," endemic to Brazil. Occurs in the Cerrado from BA (bordering GO) to RS (Repenning & Fontana, 2013). Sexually active individuals start to arrive at the breeding site (from northeastern PR to northeastern RS) in mid-October and depart in late January, disappearing completely in the first week of March. There is evidence suggesting that individuals of this population arrive with others from the same genus in southern MG and surrounding states, which are possibly wintering sites. The center of the state of SP seems to be a passing or resting area during migration (Repenning & Fontana, 2013). Photographic records confirm this pattern and present the first record of this species for BA (WikiAves, 2016)."
171,Thraupidae,Sporophila palustris,MGT,caboclinho-de-papo-branco,Marsh Seedeater,EN,VU," breeds in northeastern Argentina, extreme southern Brazil, Uruguay and possibly southeastern Paraguay during austral spring and summer. It migrates to the Central-West and Southeast regions of Brazil and eastern Paraguay (Jaramillo, 2011c; Rising, 2011). It has been recorded in flocks with other species from the same genus from the Amazon and Central Brazil (Sick, 1997), and has been observed in flocks of more than 1,000 individuals foraging in pastures in the Araguaia River basin in southeastern PA in mid-September 2009, 2010 and 2013 (Cavarzere et al., 2015). Photographic records are scarce and distributed between PA, MT, TO, MS, GO, MG, SP and RS, as well as DF, between September and April (WikiAves, 2016). The northern limit of its wintering site is in Bico do Papagaio/northern TO (Dornas et al., 2013) and the breeding population from Brazil is restricted to RS. It is definitely a migratory species, but details of its movements are not fully known."
172,Thraupidae,Sporophila hypochroma,MGT,caboclinho-de-sobre-ferrugem,Rufous-rumped Seedeater,NT,," occurs in northeastern and eastern Bolivia, in the North, Central-West and South regions of Brazil, central Paraguay and northeastern Argentina (Rising, 2011). Its wintering area reaches the central eastern portion of Bolivia and northern and central Brazil (Ridgely & Tudor, 2009). In Brazil, recent records for RS are distributed between October and February, and for MT and MS between June and November (WikiAves, 2016). For GO, it was recorded for the Emas National Park in October (Sick, 1997). For the North region of the country, it was recorded for tributaries of the Mamor� River in RO in June (Whittaker, 2004), and for TO, in the municipalities of Filad�lfia (inside the boundaries of the Fossil Trees Natural Monument) and Duer� (Dornas et al., 2013) in July and October respectively."
173,Thraupidae,Sporophila cinnamomea,MGT,caboclinho-de-chap�u-cinzento,Chestnut Seedeater,VU,," breeds during spring and austral summer in the Pampas in southeastern South America (Azpiroz et al., 2012), which includes RS (Maur�cio et al., 2013), and flies north right after that period (Jaramillo, 2011d). It has been recorded for Paraguay, Argentina and Uruguay in August and from October/November to May. Monospecific gatherings of tens of individuals were observed in late February before the migration. This species is rare in PR, especially during spring and summer, and it is likely that only localized records occur during its migration, as well as in MT and central SP, where it flies through Dourados and Itirapina heading south during spring. In the region of the Tri�ngulo Mineiro, this species has been observed in mid-September with other seedeaters that also migrate south, such as S. palustris, S. melanogaster, S. hypoxantha and S. pileata (Kr�gel et al., 2013). Photographic records confirm the distribution pattern from the literature, in which the species is recorded in Brazil from September to May, namely in TO, GO, MT, MS, MG, SP, PR, SC, RS, and evidence of breeding activity exists for MS and RS in January and February (WikiAves, 2016; MZUSP 88533 [SC, 2009, December])."
176,Thraupidae,Sporophila melanogaster,MGT,caboclinho-de-barriga-preta,Black-bellied Seedeater,NT,VU," endemic to Brazil, and occurs from the Central-West east to the Southeast and South regions (Jaramillo & de Juana, 2016). All breeding population is confined to the campos de altitude in SC and RS (Rovedder et al., 2013). It reaches its breeding site between October and November, and between February and March (Rising, 2011) it flies north searching for hotter, more humid regions (Azpiroz et al., 2012). The Jaguaria�va region/PR seems to be used as a stopover ground during migration (Carrano & Ribas, 2000). Photographic records suggest that this species� presence is restricted to the period between September and March in TO, GO, MG, SP, PR, RS and SC (WikiAves, 2016). There are also collected specimens from SC in December (MZUSP). Its occurrence during winter remains unknown and needs to be studied further."
177,Cardinalidae,,MGT,,,,,
178,,Piranga rubra,MGT,sanha�o-vermelho,Summer Tanager,,," breeds in the USA and Mexico and overwinters in a large area from Central America to the western Amazon. In South America this species seems to be more abundant along lower slopes of the Andes (Hilty, 2011). It is an uncommon winter visitor in Manaus/ AM and there are records for RR and PA in December (Stotz et al., 1992; Silva, 2011c). Museum and photographic records confirm its presence in RR, AP, AM and PA between October and March (WikiAves, 2016; MPEG), but there are occasional records for AM in May and July (WikiAves, 2016)."
179,,Pheucticus aureoventris,MGT,rei-do-bosque,Black-backed Grosbeak,,," occurs mainly in the Andes from Venezuela to Bolivia, Paraguay, Argentina and southwestern Brazil (Sick, 1997). Breeding records are restricted to Colombia from November to January and to Argentina in December (Brewer & de Juana, 2017). It is only recorded in MT, MS and RO in Brazil during winter from May to September (WikiAves, 2016), as well as in AM and GO in July and August (Serpa et al., 2014; MPEG 73473 [AM, 2011, August])."
181,Anatidae,Dendrocygna bicolor ,MPR:  ,marreca-caneleira,Fulvous Whistling-Duck,,," occurs from California to Argentina, in all of Brazil and also in Africa and India. It is, however, rare or it appears only occasionally in many places (Sick, 1997). There are populations residing in CE, MG, SP, PR, SC and RS, as suggested by occurrence records (WikiAves, 2016) distributed throughout the year, as well as in the Araguaia River region (L.F. Silveira, pers. obs.). In RS, part of the population remains in the state all year round, but another part migrates (Belton, 1984) following the same pattern as Netta peposaca: it flies to the lower Paran� River region in Argentina, which is its main breeding area according to banding and recapture records (Antas, 1994; Nascimento et al., 2003). Its movement inside the Brazilian territory is not fully understood, but it was suggested that it moves because of local droughts and floods (Antas, 1994; Sick, 1997). There are records of breeding activity for SP (between September and March), SC (December), and RS in May (WikiAves, 2016) and in October and December (Belton, 1984). In BA, this species is present on lagoons and wetlands during winter (P.C. Lima, pers. obs.)."
181,Anatidae,,MPR:  ,,,,,
182,Anatidae,Coscoroba coscoroba ,MPR:  ,capororoca,Coscoroba Swan,,," occurs in South America from central Chile, Pantanal, and southern Brazil south to Tierra del Fuego. In Brazil, it can be found in PR, SC, RS (Grantsau, 2010) and Mato Grosso do Sul (MS) (Conservation International, 2009). It breeds in RS (Belton, 1984; Nascimento et al., 2001; Maur�cio et al., 2013), where the Taim wetlands and Ecological Station are the most important breeding sites in Brazil. Part of its population departs from the Station between December and February and returns between late June and September, but most return in August and remain for at least 60 days, during which they molt. Built nests are seen in late June and chicks begin to appear in the first week of August, though most of them appear only in September. The exit route from Brazil to Argentina is the natural corridor composed of rivers, lakes and wetlands in the central plains of RS from the flood plains of the Ibicu�, Butu�, Santa Maria, Vacaca� and Jacu� Rivers (Calabuig et al., 2010). Individuals that reach southern Brazil seem to fly up to 1,700 km in a straight line and the only route is through extreme western RS, which is evidence of the connection between southern Brazil and northeastern Argentina (Calabuig et al., 2010). However, available photographic records on WikiAves confirm its year-round presence in RS, which corroborates the fact that its migration to Argentina is only partial (Calabuig et al., 2010). Data on WikiAves also suggests the presence of this species during almost the entire year in SC (except for February and June), in PR (except January, March, May and November) and in MS between June and October, which is the northern limit of its distribution. This way, geolocation studies should be performed to investigate how regular this movement to the south (to Uruguay and Argentina) made by the population that breed in Brazil is."
183,Anatidae,Neochen jubata ,MPR:  ,pato-corredor,Orinoco Goose,NT,," occurs from Venezuela to Bolivia, Paraguay, Argentina and Brazil, both in the Amazon and in Central Brazil (Sick, 1997). It is considered sedentary in most of its distribution, but there are records of small movements. It exhibits migratory behavior in the Amazon: there is a large breeding population in the Juru� River between June and October, after which disperses widely in the Amazon Basin (Carboneras, 1992a; Endo et al., 2014). Photographic and sound records available on WikiAves corroborate literature data and show that this species is present in the Amazon Basin only during the dry season (July to October), with records of breeding activity in November and December for Roraima (RR) (WikiAves, 2016). In Mato Grosso (MT) it is present between March and August (WikiAves, 2016; MZUSP), and in Goi�s (GO) and Tocantins (TO) it is resident and there are records of breeding activity between April and September (WikiAves, 2016)."
184,Anatidae,Callonetta leucophrys ,MPR:  ,marreca-de-coleira,Ringed Teal,,," occurs from northern Argentina to Bolivia, Paraguay, and Brazil in MT, RS, SP, Distrito Federal (DF) and MG (Sick, 1997). Literature data suggests that it is a migratory species that originates from extreme southern South America (Chesser, 1994; Sick, 1997; Nunes & Tomas, 2004). The direction and amplitude of its movements are not well defined, but there certainly is dispersal after breeding, which expands its distribution near to the coast and in lower latitudes (Carboneras, 1992a). However, photographic records available on WikiAves show that the species is present all year round in RS and that there are even records of breeding activity between November and February (Belton, 1994; Maur�cio et al., 2013; WikiAves, 2016). It is also recorded for Mato Grosso do Sul (MS) from May to November, SP in August, PR in May, MT in September and SC from February to May and from October to December (Straube et al., 2006; WikiAves, 2016). Such data suggests that there are resident populations in RS and at least some migration to other states."
185,Anatidae,Anas georgica ,MPR:  ,marreca-parda,Yellow-billed Pintail,,," occurs from extreme southern Colombia to Tierra del Fuego, including the Malvinas/Falklands, South Georgia, Argentina, Paraguay, Uruguay and Brazil as far as SP (Carboneras, 1992a), with occasional records for RR and CE (Sick, 1997). Individuals banded in Argentina were recovered in RS (Olrog, 1971) and one individual banded in RS was recovered on the Pacific coast of Chile, which suggests east-west movements (Silva, 1987). The main breeding site in Brazil is the coastal region and the highlands of RS. Thousands of individuals have been recorded near the border with Uruguay, where they molt between January and March (Antas, 1994). The wetlands of RS are used in migration routes (Antas, 1994), as well as its Central Depression (Nascimento et al., 2000). Photographic records show the presence of the species all year round in RS and SC, and records of breeding activity between June and December. It seems to occur in SP between July and October, and in Rio de Janeiro (RJ) in January and October (WikiAves, 2016)."
186,Anatidae,Anas versicolor ,MPR:  ,marreca-cricri,Silver Teal,,," occurs from Chile and Argentina to Paraguay, Bolivia and Brazil (Sick, 1997). Populations that breed further south of the distribution migrate north during winter and reach southeastern Brazil (Carboneras, 1992a). Banding data proves the west-east migration   between Argentina and Brazil (Belton, 1984; Antas, 1994; Sick, 1997; SNA, 2016). The species seems to move in RS through a main corridor formed by coastal wetlands and the Central Depression, similar to Netta peposaca (Nascimento et al., 2000). Part of its population is present throughout the year from RS to SP, and there are records of breeding activity in September and October for RS, SC, PR (WikiAves, 2016), SP (F. Schunck, pers. comm.), and occasionally in RJ (Sick, 1997)."
187,Anatidae,Anas platalea ,MPR:  ,marreca-colhereira,Red Shoveler,,," occurs from southern South America to Peru, Bolivia, Paraguay and RS in Brazil, occasionally as far as RJ (Sick, 1997). Populations that breed further south of the general distribution migrate to lower latitudes during winter (Carboneras, 1992a). In RS, it occurs mainly as a winter visitor, though breeding has been confirmed in the state (Belton, 1984; FZBRS, 2013). Presents irregular records for MS, SP and PR (WikiAves, 2016)."
188,Anatidae,Netta peposaca ,MPR:  ,marrec�o,Rosy-billed Pochard,,," occurs in the Southern Cone of South America and, in Brazil, in wetlands and floodplains in RS and in the coastal zone of PR, SC, SP and RJ (Nascimento et al., 2000). Individuals from RS, where there is a resident population, come from different areas in Argentina and fly from the Paran� River delta near Buenos Aires almost to the Paran� and Paraguay Rivers junction (Belton, 1984; Antas, 1987; Sick, 1997), and then fly to the south coast of Brazil (Antas, 1994). The species flies along coastal lagoons in RS and reaches lower Paran�, which is its main breeding site, through eastern Uruguay or through the Central Depression of the state (Antas et al., 1990; Antas, 1994; Nascimento et al., 2000). The migration after breeding occurs from April to September and occasionally some individuals arrive in the Pantanal in MS (Nascimento et al., 2000). There are also historic records for RJ (J.F. Pacheco, pers. obs.). In SP, it has been recorded for the Tanqu� region in the municipality of Piracicaba all year round, and there is also evidence of breeding activity (WikiAves, 2016)."
189,Anatidae,Heteronetta atricapilla ,MPR:  ,marreca-de-cabe�a-preta,Black-headed Duck,,," occurs from Chile and Argentina to southern Brazil, Paraguay and Bolivia (Sick, 1997). Populations that breed further south of the distribution fly north during winter (Carboneras, 1992a). Calabuig et al. (2010) suggest that this species presents the same pattern as Coscoroba coscoroba, in which part of the population migrates and the rest remain in one area throughout the year. Individuals that were banded in Santiago del Estero in June and then recovered in RS in August (Olrog, 1974) proved migration between Argentina and Brazil (RS). This species breeds in RS between October and December (Maur�cio et al., 2013)."
190,Procellariidae,,MPR:  ,,,,,
191,Procellariidae,Pterodroma arminjoniana ,MPR:  ,grazina-de-trindade,Trindade Petrel,VU,CR," adults seem to be sedentary in great part of its distribution while immature individuals are more dispersive and can move through tropical and subtropical Atlantic waters. It breeds in Trindade and Martin Vaz (Carboneras, 1992c), but its   breeding is currently restricted to Trindade Island and other near islets (Neves et al., 2006). On Trindade, active nests and pairs doing flight displays can be seen all year round (Neves et al., 2006), but records of immature individuals are more common on the North Atlantic Ocean than in the South Atlantic (Abreu et al., 2010). There are, however, records of adults for the coast of Rio Grande do Norte (RN) in January 2015 (WikiAves, 2016) and of immature individuals for Argentina in July (Savigny et al., 2005) and for Uruguay in April (Abreu et al., 2010)."
194,Ardeidae,,MPR:  ,,,,,
195,Ardeidae,Nyctanassa violacea ,MPR:  ,savacu-de-coroa,Yellow-crowned Night-Heron,,," occurs from the coast of the USA to northern Peru and Brazil in all coastal states from AP to RS (Sick, 1997; WikiAves, 2016). Movements from the subspecies N. v. cayennesis, which occurs in Brazil, are little known (Mart�nez-Vilalta & Motis, 1992). In the estuary from Lagoa dos Patos/RS, where it breeds, its occurrence is seasonal between August and April (Gianuca, 2007) and a large part of the population is absent from this state between April and August, when its main prey (the crab Neo? helice granulata) remains in its burrows (Mart�nez-Vilalta & Motis, 1992). There are other records for RS in September, October, November, December and February (Belton, 1984; WikiAves, 2016), which confirm the migratory pattern in the state even though it is present in all other states throughout the year (WikiAves, 2016)."
196,Threskiornithidae,,MPR:  ,,,,,
197,Threskiornithidae,Plegadis chihi ,MPR:  ,cara�na,White-faced Ibis,,," occurs from central California and northwestern USA to the coast of Mexico, and in southern central South America from southeastern Bolivia, Paraguay and southern Brazil to Uruguay and northern central Chile and Argentina (Matheu & del Hoyo, 1992). In Brazil, it seems to breed only in RS and there is a record of 12,000 pairs in the Taim Ecological Station (Belton, 1984), where there are also records all year round, as well as in SC (P.P. Serafini, pers. obs.), PR and SP (WikiAves, 2016). However, banding and recapture data proves that this species migrates between Argentina and RS, and records for Argentina are centered in the period between January and April and for RS between June and December (Olrog, 1971; Belton, 1984; SNA, 2016)."
198,Threskiornithidae,Platalea ajaja ,MPR:  ,colhereiro,Roseate Spoonbill,,," occurs from southeastern USA to northern Argentina, and there are records in all of Brazil. It is considered sedentary in most of its global distribution, but it is partially migratory in North America and its movements in South America are little known (Matheu & Del Hoyo, 1992). In Brazil, it breeds in RS (September to December), where it is present throughout the year (Belton, 1994), and also in the Pantanal according to banding data (SNA, 2016). Nestlings and juveniles banded in RS were recovered in SC, SP, MG and RJ (Nunes & Tomas, 2008). This species was classified as partially migratory due to the fact that breeding data is restricted to RS and Pantanal, which suggests that this species returns to these places to breed."
200, Accipitridae,,MPR:  ,,,,,
201, Accipitridae,Elanoides forficatus ,MPR:  ,gavi�o-tesoura,Swallow-tailed Kite,,," occurs from the southeast coast of the USA to eastern Bolivia, Paraguay and northern Argentina, and two subspecies are recognized: E. f. forfi? catus and E. f. yetapa, both which occurs in Brazil (Bierregaard & Kirwan, 2016a). There are records of breeding activity in the Brazilian territory for MT, TO, SP, PR, SC and RS between November and February (WikiAves, 2016). In the Amazon, where it also breeds, only one nest was recorded in the Upper Negro River (Thiollay, 1994). It is relatively common in most of its distribution and migratory in the extreme north and south of its global occurrence: chicks banded in Florida in June were recovered in PR in December and in MT in October and November (Sick, 1997). There are also records for RS between September and March (Belton, 1984). There is no doubt about its migratory behavior, but tracking studies should be performed due to the presence of both subspecies in Brazil sharing geographical areas for at least part of the year (B. Whitney, pers. obs.)."
202, Accipitridae,Ictinia plumbea ,MPR:  ,sovi,Plumbeous Kite,,," occurs from northeastern Mexico to western Ecuador, Paraguay and northern Argentina and Brazil (Bierregaard et al., 2016). It is migratory in the north and south of its global distribution (Jahn & Cueto, 2012), and the limits of its populations are not well known. Groups, probably of nomads, appear sporadically throughout the Amazon (Bierregaard et al., 2016) and are recorded in the region of Alter do Ch�o/PA only during the rainy season from February to July (Sanaiotti & Cintra, 2001). In Brazil, this species occurs sporadically in the Northeast and it breeds in the Amazon and in the Central-West, Southeast and South regions. For PR, SC and RS, records are restricted to the period between August and April (WikiAves, 2016; MNRJ; MZUSP). Therefore, there is a resident and a migratory population in the Brazilian national territory."
203, Accipitridae,Rostrhamus sociabilis ,MPR:  ,gavi�o-caramujeiro,Snail Kite,,," occurs from southeastern USA to northeastern Argentina and populations from the south of the global distribution are migratory (Sick, 1997). This species performs nomadic movements triggered by drought or drainage of its feeding areas (Bierregaard & Kirwan, 2016b). It departs from the southern region of Brazil in April and returns in September, and some individuals fly to the Pantanal, where they form groups of up to 600 individuals in feeding areas (Bierregaard & Kirwan, 2016). There is no record of breeding in the Pantanal and large groups (40-80) have been seen departing from the central area and heading south (Antas, 1994). In the Paraguay River, it is more common in October, when it flies south in flocks (Thiollay, 1994). There are records of flocks of about 1,000 individuals flying from the north to the south over Sapucaia do Sul/RS in October 1976 (Sick, 1983). In October 2010, a flock of thousands of individuals (between 2,500 and 3,000) was seen flying from the north to the south in Chapada dos Guimar�es/MT (P.P. Amaral, pers. obs.). There are records of breeding activity for CE, Alagoas (AL), Piau� (PI), Esp�rito Santo (ES), RJ and  RS, where the species has been recorded in all months of the year (WikiAves, 2016), as well as in MG and SP (L.F. Silveira, pers. obs.)."
205,Rallidae,,MPR:  ,,,,,
206,Rallidae,Pardirallus sanguinolentus ,MPR:  ,saracura-do-banhado,Plumbeous Rail,,," occurs in Peru, Chile, Bolivia, Paraguay, Uruguay, Argentina and the southeastern and southern regions of Brazil (Taylor, 1996). It breeds in RS (Belton, 1994; Maur�cio et al., 2013), SC, PR, SP and RJ (WikiAves, 2016). The population from southwestern Pampas seems to migrate north during winter, while populations from the Atlantic coast and coastal swamps are sedentary (Taylor, 1996). Records for western RS � in the municipalities of Quara�, Alegrete and Uruguaiana � are restricted to the period between May and September (WikiAves, 2016; MZUSP)."
207,Rallidae,Porphyrio martinicus ,MPR:  ,frango-d'�gua-azul,Purple Gallinule,,," occurs from southeastern USA to Peru, Paraguay, Uruguay, northern Argentina and all of Brazil (Taylor, 1996; Grantsau, 2010). Although the literature indicates that this species moves seasonally in northeastern Brazil (Sick, 1983), photographic records (WikiAves, 2016) and banding data (SNA, 2016) do not corroborate this pattern. There are scarce records of breeding activity in the entire Northeast region from January to October, and also in CE, Pernambuco (PE) and BA throughout the year (WikiAves, 2016). Populations from the extreme south of the distribution (Argentina, Uruguay and southern Brazil) fly north during austral winter (Taylor, 1996), when they disappear completely (Sick, 1997) from the RS, where records are restricted to the period between September and May (Belton, 1984; MZUSP 637 [RS, 1897, October]), when they also breed (Maur�cio et al., 2013). As the species is recorded virtually all year round in SC (WikiAves, 2016), migration seems to be restricted to RS."
208,Charadriidae,,MPR:  ,,,,,
209,Charadriidae,Charadrius falklandicus ,MPR:  ,batu�ra-de-coleira-dupla,Two-banded Plover,,," migrates after breeding from Patagonia to Uruguay, RS and the Southeast region of Brazil (Wiersma, 1996). It has a resident population in RS, where breeding has also been recorded (Belton, 1984; Sick, 1997; Maur�cio et al., 2013). For SP, there are records in May to August (Barbieri et al., 2013; WikiAves, 2016). There are also records for SC between May and July (WikiAves, 2016)."
